anomaly_score,decision,actual_fraud
0.2135,ALLOW,0
0.1341,ALLOW,0
0.173,ALLOW,0
0.1311,ALLOW,0
0.1279,ALLOW,0
0.1355,ALLOW,0
0.1997,ALLOW,0
0.1321,ALLOW,1
0.2158,ALLOW,0
0.1385,ALLOW,0
0.2161,ALLOW,0
0.2919,ALLOW,0
0.226,ALLOW,0
0.2977,ALLOW,0
0.1217,ALLOW,0
0.2334,ALLOW,0
0.2532,ALLOW,0
0.2484,ALLOW,0
0.2058,ALLOW,0
0.2207,ALLOW,0
0.1032,ALLOW,0
0.0975,ALLOW,1
0.1465,ALLOW,0
0.2423,ALLOW,0
0.1803,ALLOW,0
0.2601,ALLOW,0
0.2197,ALLOW,0
0.2835,ALLOW,0
0.1506,ALLOW,0
0.2321,ALLOW,0
0.1229,ALLOW,0
0.1806,ALLOW,0
0.2303,ALLOW,0
0.2446,ALLOW,1
0.4258,MONITOR,1
0.2367,ALLOW,0
0.1605,ALLOW,0
0.1371,ALLOW,0
0.2009,ALLOW,0
0.3422,ALLOW,0
0.2259,ALLOW,0
0.2409,ALLOW,0
0.417,MONITOR,1
0.1201,ALLOW,0
0.1371,ALLOW,0
0.2268,ALLOW,0
0.333,ALLOW,0
0.3517,ALLOW,1
0.2271,ALLOW,0
0.2481,ALLOW,0
0.2692,ALLOW,0
0.2328,ALLOW,0
0.2382,ALLOW,0
0.2558,ALLOW,1
0.158,ALLOW,0
0.1133,ALLOW,0
0.1732,ALLOW,0
0.2107,ALLOW,0
0.4125,MONITOR,1
0.296,ALLOW,0
0.9793,BLOCK,1
0.3135,ALLOW,0
0.1089,ALLOW,0
0.3973,ALLOW,0
0.2152,ALLOW,0
0.265,ALLOW,0
0.05,ALLOW,0
0.2501,ALLOW,0
0.0495,ALLOW,0
0.2187,ALLOW,0
0.3278,ALLOW,1
0.1422,ALLOW,0
0.2124,ALLOW,0
0.2345,ALLOW,0
0.1714,ALLOW,0
0.1998,ALLOW,0
0.9451,BLOCK,1
0.3714,ALLOW,0
0.1562,ALLOW,0
0.0901,ALLOW,0
0.2223,ALLOW,0
0.3024,ALLOW,1
0.2226,ALLOW,1
0.1598,ALLOW,0
0.2269,ALLOW,0
0.1758,ALLOW,0
0.1597,ALLOW,0
0.2321,ALLOW,0
0.1529,ALLOW,0
0.1681,ALLOW,0
0.1034,ALLOW,0
0.3444,ALLOW,0
0.1409,ALLOW,0
0.1482,ALLOW,0
0.1282,ALLOW,0
0.0844,ALLOW,1
0.3275,ALLOW,1
0.1298,ALLOW,0
0.1367,ALLOW,0
0.1811,ALLOW,0
0.171,ALLOW,0
0.3509,ALLOW,0
0.1327,ALLOW,0
0.0859,ALLOW,0
0.1997,ALLOW,0
0.1903,ALLOW,0
0.2487,ALLOW,0
0.3722,ALLOW,1
0.2151,ALLOW,0
0.223,ALLOW,0
0.2098,ALLOW,0
0.245,ALLOW,0
0.198,ALLOW,0
0.1136,ALLOW,0
0.1079,ALLOW,0
0.3523,ALLOW,1
0.1927,ALLOW,0
0.2805,ALLOW,0
0.2676,ALLOW,0
0.171,ALLOW,0
0.0677,ALLOW,0
0.1447,ALLOW,0
0.0717,ALLOW,0
0.2628,ALLOW,1
0.1578,ALLOW,0
0.1034,ALLOW,0
0.2227,ALLOW,0
0.2891,ALLOW,0
0.1257,ALLOW,0
0.1492,ALLOW,0
0.1861,ALLOW,0
0.1851,ALLOW,0
0.2699,ALLOW,0
0.162,ALLOW,0
0.1473,ALLOW,0
0.1149,ALLOW,0
0.9744,BLOCK,1
0.0884,ALLOW,0
0.2225,ALLOW,0
0.1041,ALLOW,0
0.2357,ALLOW,0
0.3603,ALLOW,1
0.1449,ALLOW,0
0.1404,ALLOW,0
0.3255,ALLOW,0
0.265,ALLOW,0
0.2289,ALLOW,0
0.2592,ALLOW,0
0.1899,ALLOW,0
0.9599,BLOCK,1
0.186,ALLOW,0
0.1092,ALLOW,0
0.134,ALLOW,1
0.1747,ALLOW,0
0.2206,ALLOW,1
0.1897,ALLOW,0
0.1078,ALLOW,0
0.1426,ALLOW,0
0.1921,ALLOW,0
0.2165,ALLOW,0
0.1752,ALLOW,0
0.1265,ALLOW,0
0.248,ALLOW,0
0.0848,ALLOW,0
0.1364,ALLOW,0
0.2721,ALLOW,0
0.1127,ALLOW,0
0.1957,ALLOW,0
0.3299,ALLOW,0
0.2019,ALLOW,0
0.1737,ALLOW,0
0.0505,ALLOW,0
0.1515,ALLOW,0
0.0613,ALLOW,0
0.1859,ALLOW,0
0.1808,ALLOW,0
0.2349,ALLOW,0
0.164,ALLOW,0
0.1867,ALLOW,0
0.0961,ALLOW,0
0.4168,MONITOR,1
0.1215,ALLOW,0
0.1195,ALLOW,0
0.121,ALLOW,0
0.0838,ALLOW,0
0.4408,MONITOR,1
0.2844,ALLOW,1
0.2044,ALLOW,0
0.1185,ALLOW,0
0.1675,ALLOW,0
0.1416,ALLOW,0
0.3275,ALLOW,1
0.1176,ALLOW,0
0.1632,ALLOW,0
0.212,ALLOW,1
0.1282,ALLOW,0
0.221,ALLOW,0
0.1027,ALLOW,0
0.1412,ALLOW,0
0.227,ALLOW,0
0.1668,ALLOW,0
0.276,ALLOW,0
0.1046,ALLOW,0
0.1389,ALLOW,0
0.413,MONITOR,1
0.1541,ALLOW,0
0.1475,ALLOW,0
0.1438,ALLOW,0
0.2667,ALLOW,1
0.9575,BLOCK,1
0.2482,ALLOW,0
0.3101,ALLOW,1
0.2587,ALLOW,0
0.1816,ALLOW,0
0.2348,ALLOW,0
0.1568,ALLOW,0
0.2391,ALLOW,0
0.1183,ALLOW,0
0.2519,ALLOW,0
0.3091,ALLOW,0
0.1516,ALLOW,0
0.1977,ALLOW,0
0.1181,ALLOW,0
0.3171,ALLOW,0
0.3912,ALLOW,1
0.3822,ALLOW,1
0.3451,ALLOW,0
0.1298,ALLOW,0
0.1885,ALLOW,0
0.3557,ALLOW,1
0.0848,ALLOW,0
0.2522,ALLOW,0
0.1885,ALLOW,0
0.178,ALLOW,0
0.2434,ALLOW,0
0.1804,ALLOW,0
0.1856,ALLOW,0
0.1377,ALLOW,0
0.2497,ALLOW,0
0.1673,ALLOW,0
0.9793,BLOCK,1
0.1497,ALLOW,0
0.1743,ALLOW,0
0.1715,ALLOW,0
0.2456,ALLOW,0
0.2762,ALLOW,0
0.9743,BLOCK,1
0.277,ALLOW,0
0.4088,MONITOR,1
0.1679,ALLOW,0
0.256,ALLOW,0
0.2158,ALLOW,0
0.2274,ALLOW,0
0.456,MONITOR,1
0.2731,ALLOW,0
0.2906,ALLOW,0
0.1929,ALLOW,0
0.2377,ALLOW,0
0.2885,ALLOW,0
0.4516,MONITOR,1
0.1903,ALLOW,0
0.123,ALLOW,0
0.1693,ALLOW,0
0.356,ALLOW,1
0.281,ALLOW,0
0.0521,ALLOW,0
0.157,ALLOW,0
0.1222,ALLOW,0
0.4067,MONITOR,1
0.1536,ALLOW,0
0.381,ALLOW,1
0.1286,ALLOW,0
0.2505,ALLOW,1
0.1932,ALLOW,0
0.2708,ALLOW,0
0.0994,ALLOW,0
0.2267,ALLOW,0
0.2513,ALLOW,0
0.1565,ALLOW,0
0.2447,ALLOW,0
0.1606,ALLOW,0
0.0871,ALLOW,0
0.5887,MONITOR,1
0.1933,ALLOW,0
0.1722,ALLOW,0
0.2768,ALLOW,0
0.1571,ALLOW,0
0.1084,ALLOW,0
0.2161,ALLOW,0
0.2132,ALLOW,0
0.1124,ALLOW,0
0.1467,ALLOW,0
0.3117,ALLOW,0
0.1491,ALLOW,0
0.0989,ALLOW,0
0.2251,ALLOW,0
0.1557,ALLOW,0
0.1364,ALLOW,0
0.1585,ALLOW,0
0.2062,ALLOW,0
0.1231,ALLOW,0
0.1042,ALLOW,0
0.2708,ALLOW,0
0.2713,ALLOW,1
0.3966,ALLOW,0
0.234,ALLOW,0
0.4191,MONITOR,1
0.1933,ALLOW,0
0.141,ALLOW,0
0.3531,ALLOW,0
0.4337,MONITOR,1
0.0527,ALLOW,0
0.0778,ALLOW,0
0.2164,ALLOW,0
0.3724,ALLOW,1
0.1414,ALLOW,0
0.2278,ALLOW,0
0.1267,ALLOW,0
0.1981,ALLOW,0
0.1715,ALLOW,0
0.1608,ALLOW,0
0.461,MONITOR,1
0.1365,ALLOW,0
0.1648,ALLOW,0
0.9401,BLOCK,1
0.1954,ALLOW,1
0.1177,ALLOW,0
0.153,ALLOW,0
0.361,ALLOW,1
0.1217,ALLOW,0
0.2174,ALLOW,0
0.2207,ALLOW,0
0.1511,ALLOW,0
0.3616,ALLOW,1
0.2886,ALLOW,0
0.2954,ALLOW,0
0.179,ALLOW,0
0.2687,ALLOW,0
0.3285,ALLOW,1
0.2222,ALLOW,0
0.1644,ALLOW,0
0.2604,ALLOW,1
0.2717,ALLOW,1
0.1787,ALLOW,0
0.1027,ALLOW,0
0.2203,ALLOW,0
0.1028,ALLOW,0
0.1674,ALLOW,0
0.2682,ALLOW,0
0.1728,ALLOW,0
0.2165,ALLOW,1
0.3223,ALLOW,0
0.091,ALLOW,0
0.0945,ALLOW,0
0.2494,ALLOW,1
0.1266,ALLOW,0
0.968,BLOCK,1
0.204,ALLOW,0
0.1528,ALLOW,0
0.2549,ALLOW,0
0.2491,ALLOW,0
0.3521,ALLOW,1
0.1431,ALLOW,0
0.1319,ALLOW,0
0.1422,ALLOW,0
0.2534,ALLOW,0
0.3285,ALLOW,0
0.1922,ALLOW,0
0.1381,ALLOW,0
0.978,BLOCK,1
0.2225,ALLOW,0
0.2525,ALLOW,1
0.194,ALLOW,0
0.2411,ALLOW,0
0.322,ALLOW,0
0.0924,ALLOW,0
0.1451,ALLOW,0
0.2235,ALLOW,0
0.2129,ALLOW,0
0.1165,ALLOW,0
0.1459,ALLOW,1
0.2294,ALLOW,0
0.2728,ALLOW,0
0.1746,ALLOW,0
0.2848,ALLOW,1
0.3256,ALLOW,0
0.1478,ALLOW,0
0.2777,ALLOW,0
0.3035,ALLOW,0
0.1915,ALLOW,0
0.205,ALLOW,0
0.3751,ALLOW,1
0.3212,ALLOW,0
0.1466,ALLOW,0
0.1648,ALLOW,0
0.3106,ALLOW,0
0.1469,ALLOW,0
0.2475,ALLOW,0
0.0648,ALLOW,0
0.2338,ALLOW,0
0.2312,ALLOW,0
0.2826,ALLOW,0
0.2883,ALLOW,0
0.0662,ALLOW,0
0.1432,ALLOW,0
0.1439,ALLOW,0
0.1009,ALLOW,0
0.2892,ALLOW,1
0.2199,ALLOW,0
0.9553,BLOCK,1
0.1602,ALLOW,0
0.2383,ALLOW,1
0.0936,ALLOW,1
0.2911,ALLOW,0
0.1032,ALLOW,0
0.2118,ALLOW,0
0.2323,ALLOW,1
0.3707,ALLOW,0
0.2127,ALLOW,0
0.2677,ALLOW,0
0.1702,ALLOW,0
0.222,ALLOW,1
0.3052,ALLOW,0
0.2504,ALLOW,0
0.296,ALLOW,0
0.2783,ALLOW,0
0.169,ALLOW,0
0.3084,ALLOW,0
0.2698,ALLOW,1
0.144,ALLOW,0
0.2235,ALLOW,0
0.9539,BLOCK,1
0.181,ALLOW,0
0.1621,ALLOW,0
0.2924,ALLOW,1
0.2155,ALLOW,0
0.2843,ALLOW,0
0.1864,ALLOW,0
0.269,ALLOW,1
0.1455,ALLOW,0
0.103,ALLOW,0
0.1997,ALLOW,0
0.1283,ALLOW,0
0.1081,ALLOW,0
0.1379,ALLOW,0
0.3056,ALLOW,1
0.2195,ALLOW,0
0.2401,ALLOW,0
0.2204,ALLOW,0
0.1852,ALLOW,0
0.1103,ALLOW,0
0.1422,ALLOW,0
0.2137,ALLOW,0
0.3521,ALLOW,1
0.244,ALLOW,0
0.187,ALLOW,0
0.173,ALLOW,0
0.3362,ALLOW,1
0.2814,ALLOW,0
0.3686,ALLOW,1
0.1339,ALLOW,0
0.1613,ALLOW,0
0.2047,ALLOW,0
0.1517,ALLOW,0
0.2257,ALLOW,0
0.1434,ALLOW,0
0.2289,ALLOW,0
0.1159,ALLOW,0
0.2115,ALLOW,0
0.122,ALLOW,0
0.2381,ALLOW,0
0.2281,ALLOW,0
0.2528,ALLOW,0
0.2486,ALLOW,0
0.1599,ALLOW,0
0.4578,MONITOR,1
0.2297,ALLOW,0
0.1926,ALLOW,0
0.1287,ALLOW,0
0.3608,ALLOW,1
0.3031,ALLOW,0
0.11,ALLOW,0
0.1318,ALLOW,0
0.3405,ALLOW,1
0.0598,ALLOW,0
0.1056,ALLOW,0
0.2711,ALLOW,0
0.1403,ALLOW,0
0.1001,ALLOW,0
0.1868,ALLOW,0
0.4376,MONITOR,1
0.9431,BLOCK,1
0.2529,ALLOW,0
0.2529,ALLOW,0
0.2321,ALLOW,0
0.3169,ALLOW,1
0.4089,MONITOR,1
0.0778,ALLOW,1
0.9769,BLOCK,1
0.0721,ALLOW,0
0.2587,ALLOW,1
0.1761,ALLOW,0
0.197,ALLOW,0
0.3581,ALLOW,0
0.1083,ALLOW,1
0.2009,ALLOW,0
0.1263,ALLOW,0
0.2164,ALLOW,0
0.2345,ALLOW,0
0.1613,ALLOW,0
0.3042,ALLOW,0
0.2137,ALLOW,0
0.1784,ALLOW,0
0.1847,ALLOW,0
0.2738,ALLOW,1
0.1614,ALLOW,0
0.4134,MONITOR,0
0.198,ALLOW,0
0.229,ALLOW,0
0.1719,ALLOW,0
0.1993,ALLOW,0
0.159,ALLOW,0
0.2629,ALLOW,0
0.1574,ALLOW,1
0.2099,ALLOW,0
0.3179,ALLOW,1
0.238,ALLOW,0
0.1253,ALLOW,0
0.2117,ALLOW,0
0.2382,ALLOW,0
0.978,BLOCK,1
0.1139,ALLOW,1
0.147,ALLOW,0
0.0965,ALLOW,0
0.1885,ALLOW,0
0.0761,ALLOW,0
0.2105,ALLOW,0
0.0707,ALLOW,0
0.1146,ALLOW,0
0.2797,ALLOW,0
0.109,ALLOW,0
0.1998,ALLOW,0
0.2876,ALLOW,0
0.1781,ALLOW,0
0.1616,ALLOW,0
0.1586,ALLOW,0
0.1259,ALLOW,0
0.337,ALLOW,1
0.2076,ALLOW,0
0.1985,ALLOW,0
0.1785,ALLOW,0
0.262,ALLOW,0
0.2936,ALLOW,1
0.1919,ALLOW,1
0.0684,ALLOW,0
0.2612,ALLOW,0
0.2016,ALLOW,0
0.1068,ALLOW,0
0.1836,ALLOW,0
0.2581,ALLOW,0
0.1934,ALLOW,0
0.1802,ALLOW,0
0.1382,ALLOW,0
0.1246,ALLOW,0
0.3725,ALLOW,1
0.9505,BLOCK,1
0.1628,ALLOW,1
0.1786,ALLOW,0
0.1429,ALLOW,0
0.2351,ALLOW,0
0.1116,ALLOW,0
0.1603,ALLOW,1
0.1257,ALLOW,0
0.362,ALLOW,1
0.9118,BLOCK,1
0.2076,ALLOW,0
0.1967,ALLOW,0
0.0892,ALLOW,0
0.1311,ALLOW,0
0.3039,ALLOW,0
0.6714,MONITOR,0
0.1183,ALLOW,0
0.2006,ALLOW,0
0.2516,ALLOW,0
0.1088,ALLOW,0
0.2737,ALLOW,0
0.9951,BLOCK,1
0.1422,ALLOW,0
0.9672,BLOCK,1
0.2225,ALLOW,1
0.2797,ALLOW,0
0.3427,ALLOW,0
0.1099,ALLOW,0
0.1765,ALLOW,0
0.1567,ALLOW,0
0.1651,ALLOW,0
0.1174,ALLOW,0
0.1139,ALLOW,0
0.22,ALLOW,0
0.2505,ALLOW,0
0.2175,ALLOW,0
0.2813,ALLOW,0
0.1088,ALLOW,0
0.24,ALLOW,0
0.2441,ALLOW,1
0.2224,ALLOW,1
0.1709,ALLOW,1
0.244,ALLOW,1
0.2801,ALLOW,0
0.3499,ALLOW,0
0.9696,BLOCK,1
0.1567,ALLOW,0
0.2098,ALLOW,0
0.1888,ALLOW,0
0.1979,ALLOW,0
0.134,ALLOW,0
0.1312,ALLOW,0
0.0729,ALLOW,0
0.1545,ALLOW,0
0.9755,BLOCK,1
0.1268,ALLOW,0
0.1659,ALLOW,0
0.1247,ALLOW,0
0.4117,MONITOR,1
0.2988,ALLOW,0
0.1921,ALLOW,0
0.2677,ALLOW,0
0.1772,ALLOW,0
0.2045,ALLOW,0
0.2184,ALLOW,0
0.2055,ALLOW,0
0.2315,ALLOW,0
0.0956,ALLOW,0
0.2537,ALLOW,0
0.1286,ALLOW,0
0.1433,ALLOW,0
0.1107,ALLOW,0
0.1969,ALLOW,0
0.2078,ALLOW,0
0.1595,ALLOW,0
0.22,ALLOW,0
0.2253,ALLOW,0
0.2454,ALLOW,0
0.1672,ALLOW,0
0.1161,ALLOW,0
0.3256,ALLOW,0
0.1314,ALLOW,0
0.1901,ALLOW,0
0.153,ALLOW,0
0.1036,ALLOW,0
0.3384,ALLOW,1
0.1327,ALLOW,0
0.184,ALLOW,0
0.1354,ALLOW,0
0.1207,ALLOW,0
0.2407,ALLOW,0
0.1891,ALLOW,0
0.1258,ALLOW,0
0.2167,ALLOW,0
0.1071,ALLOW,0
0.2129,ALLOW,0
0.1959,ALLOW,0
0.1106,ALLOW,0
0.1132,ALLOW,0
0.0837,ALLOW,0
0.1483,ALLOW,0
0.2051,ALLOW,0
0.2979,ALLOW,0
0.1053,ALLOW,1
0.1834,ALLOW,0
0.2867,ALLOW,0
0.1177,ALLOW,0
0.1268,ALLOW,0
0.1902,ALLOW,0
0.1707,ALLOW,0
0.1047,ALLOW,0
0.2218,ALLOW,1
0.2435,ALLOW,0
0.9636,BLOCK,1
0.2365,ALLOW,0
0.2725,ALLOW,0
0.1471,ALLOW,0
0.1971,ALLOW,0
0.3436,ALLOW,1
0.1683,ALLOW,0
0.1861,ALLOW,0
0.1233,ALLOW,0
0.1959,ALLOW,0
0.1285,ALLOW,0
0.2551,ALLOW,0
0.1782,ALLOW,0
0.1295,ALLOW,1
0.1297,ALLOW,0
0.1602,ALLOW,1
0.2187,ALLOW,0
0.2421,ALLOW,1
0.2232,ALLOW,0
0.3289,ALLOW,1
0.3642,ALLOW,1
0.1608,ALLOW,0
0.1357,ALLOW,0
0.2658,ALLOW,1
0.1669,ALLOW,0
0.2106,ALLOW,0
0.1281,ALLOW,0
0.2082,ALLOW,0
0.1895,ALLOW,0
0.107,ALLOW,0
0.1585,ALLOW,0
0.1061,ALLOW,0
0.3205,ALLOW,1
0.3391,ALLOW,0
0.9503,BLOCK,1
0.1867,ALLOW,0
0.1644,ALLOW,0
0.1091,ALLOW,0
0.2496,ALLOW,1
0.1889,ALLOW,1
0.1428,ALLOW,1
0.3182,ALLOW,1
0.0738,ALLOW,0
0.9603,BLOCK,1
0.1502,ALLOW,0
0.0999,ALLOW,0
0.1815,ALLOW,0
0.3237,ALLOW,0
0.172,ALLOW,0
0.1989,ALLOW,0
0.1126,ALLOW,0
0.2276,ALLOW,0
0.2005,ALLOW,1
0.2222,ALLOW,0
0.1755,ALLOW,0
0.1769,ALLOW,0
0.1808,ALLOW,0
0.1945,ALLOW,0
0.2357,ALLOW,0
0.1112,ALLOW,0
0.2446,ALLOW,0
0.2051,ALLOW,0
0.119,ALLOW,0
0.2565,ALLOW,1
0.1956,ALLOW,0
0.2587,ALLOW,1
0.1016,ALLOW,0
0.2148,ALLOW,0
0.1244,ALLOW,0
0.1774,ALLOW,0
0.1779,ALLOW,0
0.2305,ALLOW,0
0.1379,ALLOW,0
0.1198,ALLOW,0
0.334,ALLOW,0
0.3208,ALLOW,0
0.1416,ALLOW,1
0.2783,ALLOW,0
0.1935,ALLOW,0
0.2335,ALLOW,0
0.2093,ALLOW,0
0.2114,ALLOW,0
0.1134,ALLOW,0
0.1353,ALLOW,0
0.2569,ALLOW,0
0.2384,ALLOW,0
0.0867,ALLOW,0
0.2218,ALLOW,0
0.1567,ALLOW,0
0.1797,ALLOW,0
0.1503,ALLOW,0
0.2114,ALLOW,0
0.1253,ALLOW,0
0.246,ALLOW,0
0.1955,ALLOW,1
0.1014,ALLOW,0
0.1449,ALLOW,0
0.139,ALLOW,0
0.3397,ALLOW,0
0.0827,ALLOW,0
0.1365,ALLOW,0
0.0966,ALLOW,0
0.22,ALLOW,0
0.1546,ALLOW,0
0.216,ALLOW,0
0.16,ALLOW,1
0.1746,ALLOW,0
0.1269,ALLOW,0
0.2323,ALLOW,0
0.3016,ALLOW,1
0.1281,ALLOW,1
0.1997,ALLOW,0
0.2976,ALLOW,0
0.2697,ALLOW,0
0.0611,ALLOW,0
0.1257,ALLOW,0
0.0542,ALLOW,0
0.2201,ALLOW,0
0.2321,ALLOW,0
0.1217,ALLOW,0
0.142,ALLOW,0
0.1623,ALLOW,0
0.2159,ALLOW,0
0.1193,ALLOW,0
0.1196,ALLOW,0
0.2452,ALLOW,0
0.1655,ALLOW,0
0.1346,ALLOW,0
0.0821,ALLOW,0
0.0828,ALLOW,0
0.1451,ALLOW,0
0.4088,MONITOR,1
0.1327,ALLOW,0
0.1629,ALLOW,0
0.188,ALLOW,0
0.165,ALLOW,0
0.0581,ALLOW,0
0.2151,ALLOW,0
0.1218,ALLOW,0
0.2465,ALLOW,0
0.4246,MONITOR,1
0.0335,ALLOW,0
0.2337,ALLOW,1
0.1559,ALLOW,0
0.1576,ALLOW,0
0.1196,ALLOW,0
0.3727,ALLOW,1
0.3054,ALLOW,0
0.9793,BLOCK,1
0.2111,ALLOW,0
0.1376,ALLOW,0
0.2037,ALLOW,0
0.2381,ALLOW,0
0.1089,ALLOW,1
0.2267,ALLOW,0
0.104,ALLOW,0
0.1818,ALLOW,0
0.1851,ALLOW,0
0.0829,ALLOW,0
0.1276,ALLOW,0
0.2563,ALLOW,0
0.2178,ALLOW,0
0.0983,ALLOW,0
0.2784,ALLOW,0
0.0976,ALLOW,0
0.1166,ALLOW,0
0.2989,ALLOW,1
0.0896,ALLOW,0
0.9505,BLOCK,1
0.2983,ALLOW,1
0.2185,ALLOW,0
0.2108,ALLOW,0
0.1439,ALLOW,0
0.0702,ALLOW,0
0.1488,ALLOW,0
0.2875,ALLOW,0
0.6117,MONITOR,0
0.1384,ALLOW,0
0.1431,ALLOW,0
0.9757,BLOCK,1
0.1842,ALLOW,0
0.2374,ALLOW,0
0.0983,ALLOW,0
0.1839,ALLOW,0
0.1403,ALLOW,1
0.1741,ALLOW,0
0.112,ALLOW,0
0.2282,ALLOW,0
0.131,ALLOW,0
0.1337,ALLOW,0
0.164,ALLOW,0
0.1794,ALLOW,1
0.1288,ALLOW,0
0.1713,ALLOW,0
0.1694,ALLOW,0
0.077,ALLOW,0
0.1467,ALLOW,0
0.2248,ALLOW,0
0.2005,ALLOW,1
0.0925,ALLOW,0
0.2258,ALLOW,0
0.1202,ALLOW,0
0.2153,ALLOW,1
0.0956,ALLOW,0
0.0861,ALLOW,0
0.1849,ALLOW,0
0.1875,ALLOW,0
0.243,ALLOW,0
0.2369,ALLOW,0
0.1965,ALLOW,0
0.2764,ALLOW,0
0.0905,ALLOW,0
0.1608,ALLOW,1
0.2894,ALLOW,1
0.1427,ALLOW,0
0.0795,ALLOW,0
0.1109,ALLOW,0
0.2489,ALLOW,0
0.3971,ALLOW,1
0.1995,ALLOW,0
0.162,ALLOW,0
0.1352,ALLOW,0
0.1034,ALLOW,0
0.1351,ALLOW,0
0.1837,ALLOW,0
0.2124,ALLOW,0
0.1161,ALLOW,0
0.1688,ALLOW,0
0.1228,ALLOW,0
0.1559,ALLOW,0
0.1924,ALLOW,0
0.2361,ALLOW,0
0.0812,ALLOW,0
0.2017,ALLOW,0
0.1541,ALLOW,0
0.2092,ALLOW,0
0.1479,ALLOW,0
0.2132,ALLOW,1
0.1788,ALLOW,0
0.2231,ALLOW,0
0.3451,ALLOW,1
0.1795,ALLOW,0
0.0334,ALLOW,0
0.1753,ALLOW,0
0.102,ALLOW,0
0.135,ALLOW,0
0.1826,ALLOW,0
0.1939,ALLOW,0
0.0784,ALLOW,0
0.3268,ALLOW,1
0.1325,ALLOW,1
0.1051,ALLOW,0
0.1418,ALLOW,0
0.1132,ALLOW,0
0.2627,ALLOW,1
0.1237,ALLOW,0
0.2505,ALLOW,0
0.2518,ALLOW,0
0.2278,ALLOW,0
0.1898,ALLOW,0
0.2447,ALLOW,0
0.1499,ALLOW,0
0.1079,ALLOW,0
0.2265,ALLOW,0
0.1009,ALLOW,0
0.2105,ALLOW,0
0.2329,ALLOW,0
0.1367,ALLOW,0
0.1551,ALLOW,0
0.1437,ALLOW,0
0.1284,ALLOW,0
0.1667,ALLOW,0
0.1891,ALLOW,0
0.3447,ALLOW,0
0.1499,ALLOW,0
0.1126,ALLOW,0
0.2138,ALLOW,0
0.1822,ALLOW,0
0.1424,ALLOW,0
0.1297,ALLOW,0
