Transaction_ID,Risk_Score,Actual,Predicted,Action
297,5.72,0,0,ALLOW
298,11.65,0,0,ALLOW
299,9.95,0,0,ALLOW
300,16.08,0,0,ALLOW
301,11.08,0,0,ALLOW
302,15.51,0,0,ALLOW
303,3.65,0,0,ALLOW
304,95.5,1,1,BLOCK
305,8.57,0,0,ALLOW
306,2.65,0,0,ALLOW
307,10.32,0,0,ALLOW
308,3.23,0,0,ALLOW
309,89.14,1,1,BLOCK
310,85.24,1,1,BLOCK
311,12.43,0,0,ALLOW
312,8.61,0,0,ALLOW
313,11.36,0,0,ALLOW
314,10.94,0,0,ALLOW
315,69.65,1,1,MONITOR
316,10.98,0,0,ALLOW
317,14.07,0,0,ALLOW
318,79.58,1,1,BLOCK
319,10.03,0,0,ALLOW
320,18.69,0,0,ALLOW
321,6.95,0,0,ALLOW
322,10.76,0,0,ALLOW
323,16.75,0,0,ALLOW
324,5.63,0,0,ALLOW
325,14.82,0,0,ALLOW
326,7.53,0,0,ALLOW
327,10.19,0,0,ALLOW
328,92.05,1,1,BLOCK
329,2.85,0,0,ALLOW
330,12.31,0,0,ALLOW
331,9.97,0,0,ALLOW
332,77.81,1,1,BLOCK
333,88.9,1,1,BLOCK
334,14.79,0,0,ALLOW
335,76.77,1,1,BLOCK
336,14.43,0,0,ALLOW
337,9.6,0,0,ALLOW
338,14.24,0,0,ALLOW
339,8.43,0,0,ALLOW
340,6.72,0,0,ALLOW
341,13.04,0,0,ALLOW
342,11.88,0,0,ALLOW
343,17.47,0,0,ALLOW
344,12.79,0,0,ALLOW
345,12.55,0,0,ALLOW
346,3.11,0,0,ALLOW
347,16.31,0,0,ALLOW
348,83.57,1,1,BLOCK
349,84.82,1,1,BLOCK
350,17.69,0,0,ALLOW
351,3.39,0,0,ALLOW
352,12.83,0,0,ALLOW
353,16.98,1,0,ALLOW
354,2.68,0,0,ALLOW
355,10.35,0,0,ALLOW
356,5.02,0,0,ALLOW
357,10.54,0,0,ALLOW
358,16.43,0,0,ALLOW
359,10.23,0,0,ALLOW
360,10.98,0,0,ALLOW
361,10.33,0,0,ALLOW
362,12.6,0,0,ALLOW
363,12.05,0,0,ALLOW
364,89.32,1,1,BLOCK
365,17.41,0,0,ALLOW
366,6.14,0,0,ALLOW
367,14.58,0,0,ALLOW
368,7.26,0,0,ALLOW
369,16.28,0,0,ALLOW
370,89.35,1,1,BLOCK
371,16.15,0,0,ALLOW
372,95.48,1,1,BLOCK
373,50.91,0,1,MONITOR
374,13.66,0,0,ALLOW
375,15.22,0,0,ALLOW
376,16.61,0,0,ALLOW
377,88.29,1,1,BLOCK
378,16.2,0,0,ALLOW
379,14.19,0,0,ALLOW
380,10.22,0,0,ALLOW
381,5.57,0,0,ALLOW
382,14.52,0,0,ALLOW
383,83.29,1,1,BLOCK
384,10.6,0,0,ALLOW
385,3.15,0,0,ALLOW
386,13.49,0,0,ALLOW
387,87.13,1,1,BLOCK
388,19.17,0,0,ALLOW
389,5.06,0,0,ALLOW
390,11.54,0,0,ALLOW
391,41.43,0,1,MONITOR
392,89.86,1,1,BLOCK
393,3.79,0,0,ALLOW
394,77.45,1,1,BLOCK
395,10.91,0,0,ALLOW
396,89.5,1,1,BLOCK
397,12.54,0,0,ALLOW
398,15.97,0,0,ALLOW
399,9.24,0,0,ALLOW
400,16.28,0,0,ALLOW
401,15.02,0,0,ALLOW
402,12.3,0,0,ALLOW
403,11.27,0,0,ALLOW
404,8.06,0,0,ALLOW
405,2.31,0,0,ALLOW
406,34.64,1,0,ALLOW
407,15.15,0,0,ALLOW
408,12.92,0,0,ALLOW
409,12.81,0,0,ALLOW
410,9.77,0,0,ALLOW
411,3.54,0,0,ALLOW
412,11.58,0,0,ALLOW
413,11.93,0,0,ALLOW
414,7.57,0,0,ALLOW
415,7.17,0,0,ALLOW
416,18.16,0,0,ALLOW
417,4.73,0,0,ALLOW
418,4.11,0,0,ALLOW
419,15.89,0,0,ALLOW
420,15.21,0,0,ALLOW
421,8.54,0,0,ALLOW
422,4.05,0,0,ALLOW
423,9.73,0,0,ALLOW
424,2.13,0,0,ALLOW
425,3.17,0,0,ALLOW
426,17.23,0,0,ALLOW
427,90.2,1,1,BLOCK
428,18.96,0,0,ALLOW
429,15.47,0,0,ALLOW
430,80.61,1,1,BLOCK
431,6.85,0,0,ALLOW
432,10.94,0,0,ALLOW
433,16.5,0,0,ALLOW
434,75.52,1,1,BLOCK
435,2.06,0,0,ALLOW
436,1.72,0,0,ALLOW
437,11.18,0,0,ALLOW
438,87.06,1,1,BLOCK
439,4.42,0,0,ALLOW
440,13.69,0,0,ALLOW
441,6.99,0,0,ALLOW
442,13.65,0,0,ALLOW
443,10.5,0,0,ALLOW
444,4.82,0,0,ALLOW
445,78.94,1,1,BLOCK
446,13.46,0,0,ALLOW
447,14.19,0,0,ALLOW
448,87.3,1,1,BLOCK
449,86.87,1,1,BLOCK
450,2.2,0,0,ALLOW
451,4.55,0,0,ALLOW
452,90.98,1,1,BLOCK
453,2.97,0,0,ALLOW
454,16.73,0,0,ALLOW
455,13.27,0,0,ALLOW
456,10.01,0,0,ALLOW
457,81.7,1,1,BLOCK
458,17.61,0,0,ALLOW
459,18.33,0,0,ALLOW
460,3.7,0,0,ALLOW
461,15.93,0,0,ALLOW
462,95.65,1,1,BLOCK
463,11.17,0,0,ALLOW
464,9.88,0,0,ALLOW
465,75.43,1,1,BLOCK
466,91.75,1,1,BLOCK
467,10.61,0,0,ALLOW
468,8.55,0,0,ALLOW
469,16.81,0,0,ALLOW
470,2.12,0,0,ALLOW
471,2.74,0,0,ALLOW
472,13.11,0,0,ALLOW
473,3.59,0,0,ALLOW
474,15.35,1,0,ALLOW
475,15.23,0,0,ALLOW
476,8.23,0,0,ALLOW
477,5.0,0,0,ALLOW
478,17.06,1,0,ALLOW
479,7.96,0,0,ALLOW
480,88.2,1,1,BLOCK
481,4.67,0,0,ALLOW
482,4.56,0,0,ALLOW
483,14.41,0,0,ALLOW
484,14.38,0,0,ALLOW
485,82.6,1,1,BLOCK
486,4.51,0,0,ALLOW
487,3.93,0,0,ALLOW
488,11.9,0,0,ALLOW
489,12.8,0,0,ALLOW
490,14.67,0,0,ALLOW
491,13.11,0,0,ALLOW
492,2.29,0,0,ALLOW
493,90.9,1,1,BLOCK
494,4.47,0,0,ALLOW
495,90.79,1,1,BLOCK
496,10.99,0,0,ALLOW
497,16.47,0,0,ALLOW
498,16.01,0,0,ALLOW
499,2.24,0,0,ALLOW
500,9.24,0,0,ALLOW
501,14.28,0,0,ALLOW
502,13.66,0,0,ALLOW
503,34.96,0,0,ALLOW
504,18.45,1,0,ALLOW
505,15.9,0,0,ALLOW
506,11.39,0,0,ALLOW
507,8.63,0,0,ALLOW
508,91.9,1,1,BLOCK
509,18.08,0,0,ALLOW
510,12.23,0,0,ALLOW
511,19.49,0,0,ALLOW
512,17.14,0,0,ALLOW
513,9.29,0,0,ALLOW
514,11.16,0,0,ALLOW
515,23.07,1,0,ALLOW
516,13.69,0,0,ALLOW
517,4.12,0,0,ALLOW
518,13.49,0,0,ALLOW
519,14.35,0,0,ALLOW
520,12.02,0,0,ALLOW
521,22.38,0,0,ALLOW
522,1.44,0,0,ALLOW
523,13.17,0,0,ALLOW
524,14.1,0,0,ALLOW
525,18.26,0,0,ALLOW
526,17.51,0,0,ALLOW
527,2.08,0,0,ALLOW
528,4.24,0,0,ALLOW
529,9.85,0,0,ALLOW
530,10.21,0,0,ALLOW
531,86.7,1,1,BLOCK
532,13.25,0,0,ALLOW
533,87.22,1,1,BLOCK
534,6.68,0,0,ALLOW
535,93.93,1,1,BLOCK
536,3.17,1,0,ALLOW
537,16.59,0,0,ALLOW
538,10.86,0,0,ALLOW
539,16.34,0,0,ALLOW
540,83.17,1,1,BLOCK
541,20.58,0,0,ALLOW
542,15.16,0,0,ALLOW
543,11.02,0,0,ALLOW
544,5.4,0,0,ALLOW
545,95.97,1,1,BLOCK
546,14.34,0,0,ALLOW
547,17.11,0,0,ALLOW
548,16.4,0,0,ALLOW
549,15.72,0,0,ALLOW
550,15.41,0,0,ALLOW
551,16.97,0,0,ALLOW
552,92.66,1,1,BLOCK
553,3.55,0,0,ALLOW
554,12.48,0,0,ALLOW
555,89.1,1,1,BLOCK
556,10.62,0,0,ALLOW
557,13.84,0,0,ALLOW
558,72.7,1,1,BLOCK
559,15.46,0,0,ALLOW
560,15.86,0,0,ALLOW
561,49.24,0,1,MONITOR
562,85.91,1,1,BLOCK
563,3.1,0,0,ALLOW
564,6.43,0,0,ALLOW
565,9.46,0,0,ALLOW
566,10.78,0,0,ALLOW
567,3.46,0,0,ALLOW
568,8.78,0,0,ALLOW
569,19.08,1,0,ALLOW
570,14.07,0,0,ALLOW
571,15.46,0,0,ALLOW
572,12.84,0,0,ALLOW
573,4.8,0,0,ALLOW
574,10.16,0,0,ALLOW
575,8.64,0,0,ALLOW
576,12.29,0,0,ALLOW
577,91.63,1,1,BLOCK
578,10.9,0,0,ALLOW
579,7.37,0,0,ALLOW
580,5.43,0,0,ALLOW
581,91.26,1,1,BLOCK
582,12.64,0,0,ALLOW
583,92.63,1,1,BLOCK
584,4.83,0,0,ALLOW
585,2.7,0,0,ALLOW
586,4.38,0,0,ALLOW
587,11.93,0,0,ALLOW
588,13.72,0,0,ALLOW
589,9.96,0,0,ALLOW
590,15.04,0,0,ALLOW
591,3.2,0,0,ALLOW
592,9.84,0,0,ALLOW
593,10.44,0,0,ALLOW
594,12.96,0,0,ALLOW
595,16.97,0,0,ALLOW
596,16.46,0,0,ALLOW
597,18.03,0,0,ALLOW
598,8.94,0,0,ALLOW
599,84.03,1,1,BLOCK
600,7.42,0,0,ALLOW
601,10.75,0,0,ALLOW
602,2.16,0,0,ALLOW
603,91.92,1,1,BLOCK
604,13.69,0,0,ALLOW
605,11.34,0,0,ALLOW
606,12.71,0,0,ALLOW
607,97.36,1,1,BLOCK
608,1.95,0,0,ALLOW
609,3.43,0,0,ALLOW
610,15.19,0,0,ALLOW
611,5.46,0,0,ALLOW
612,5.92,0,0,ALLOW
613,10.54,0,0,ALLOW
614,94.85,1,1,BLOCK
615,88.09,1,1,BLOCK
616,14.35,0,0,ALLOW
617,4.9,0,0,ALLOW
618,16.56,0,0,ALLOW
619,85.57,1,1,BLOCK
620,95.35,1,1,BLOCK
621,2.57,1,0,ALLOW
622,88.23,1,1,BLOCK
623,8.6,0,0,ALLOW
624,19.29,1,0,ALLOW
625,5.23,0,0,ALLOW
626,4.77,0,0,ALLOW
627,18.32,0,0,ALLOW
628,8.51,1,0,ALLOW
629,16.08,0,0,ALLOW
630,9.17,0,0,ALLOW
631,6.42,0,0,ALLOW
632,16.06,0,0,ALLOW
633,13.82,0,0,ALLOW
634,11.18,0,0,ALLOW
635,10.77,0,0,ALLOW
636,6.12,0,0,ALLOW
637,10.47,0,0,ALLOW
638,94.26,1,1,BLOCK
639,4.5,0,0,ALLOW
640,17.41,0,0,ALLOW
641,12.41,0,0,ALLOW
642,11.16,0,0,ALLOW
643,5.31,0,0,ALLOW
644,14.94,0,0,ALLOW
645,6.74,0,0,ALLOW
646,15.48,0,0,ALLOW
647,10.74,1,0,ALLOW
648,7.49,0,0,ALLOW
649,77.16,1,1,BLOCK
650,11.12,0,0,ALLOW
651,9.88,0,0,ALLOW
652,12.52,0,0,ALLOW
653,6.21,0,0,ALLOW
654,89.77,1,1,BLOCK
655,8.76,1,0,ALLOW
656,4.18,0,0,ALLOW
657,2.94,0,0,ALLOW
658,3.81,0,0,ALLOW
659,6.7,0,0,ALLOW
660,5.14,0,0,ALLOW
661,0.77,0,0,ALLOW
662,2.57,0,0,ALLOW
663,15.68,0,0,ALLOW
664,3.21,0,0,ALLOW
665,12.5,0,0,ALLOW
666,14.69,0,0,ALLOW
667,3.8,0,0,ALLOW
668,12.85,0,0,ALLOW
669,5.13,0,0,ALLOW
670,4.48,0,0,ALLOW
671,82.6,1,1,BLOCK
672,13.3,0,0,ALLOW
673,18.69,0,0,ALLOW
674,10.98,0,0,ALLOW
675,15.82,0,0,ALLOW
676,77.57,1,1,BLOCK
677,8.22,1,0,ALLOW
678,2.01,0,0,ALLOW
679,17.43,0,0,ALLOW
680,17.71,0,0,ALLOW
681,9.36,0,0,ALLOW
682,12.09,0,0,ALLOW
683,18.2,0,0,ALLOW
684,12.78,0,0,ALLOW
685,12.77,0,0,ALLOW
686,2.84,0,0,ALLOW
687,2.98,0,0,ALLOW
688,79.35,1,1,BLOCK
689,86.7,1,1,BLOCK
690,9.52,1,0,ALLOW
691,5.78,0,0,ALLOW
692,3.51,0,0,ALLOW
693,17.77,0,0,ALLOW
694,9.75,0,0,ALLOW
695,10.72,1,0,ALLOW
696,8.21,0,0,ALLOW
697,71.99,1,1,BLOCK
698,88.47,1,1,BLOCK
699,7.95,0,0,ALLOW
700,7.05,0,0,ALLOW
701,5.12,0,0,ALLOW
702,3.32,0,0,ALLOW
703,13.48,0,0,ALLOW
704,60.18,0,1,MONITOR
705,2.52,0,0,ALLOW
706,17.19,0,0,ALLOW
707,12.35,0,0,ALLOW
708,5.04,0,0,ALLOW
709,11.26,0,0,ALLOW
710,88.34,1,1,BLOCK
711,2.16,0,0,ALLOW
712,88.23,1,1,BLOCK
713,16.37,1,0,ALLOW
714,12.76,0,0,ALLOW
715,18.74,0,0,ALLOW
716,28.43,0,0,ALLOW
717,9.18,0,0,ALLOW
718,3.23,0,0,ALLOW
719,4.11,0,0,ALLOW
720,2.84,0,0,ALLOW
721,9.55,0,0,ALLOW
722,16.33,0,0,ALLOW
723,15.95,0,0,ALLOW
724,9.18,0,0,ALLOW
725,14.44,0,0,ALLOW
726,4.62,0,0,ALLOW
727,16.71,0,0,ALLOW
728,88.84,1,1,BLOCK
729,84.22,1,1,BLOCK
730,13.05,1,0,ALLOW
731,81.51,1,1,BLOCK
732,13.44,0,0,ALLOW
733,22.65,0,0,ALLOW
734,89.32,1,1,BLOCK
735,14.12,0,0,ALLOW
736,12.0,0,0,ALLOW
737,11.16,0,0,ALLOW
738,10.6,0,0,ALLOW
739,11.35,0,0,ALLOW
740,3.88,0,0,ALLOW
741,11.25,0,0,ALLOW
742,12.31,0,0,ALLOW
743,89.03,1,1,BLOCK
744,12.89,0,0,ALLOW
745,12.27,0,0,ALLOW
746,3.48,0,0,ALLOW
747,96.89,1,1,BLOCK
748,16.22,0,0,ALLOW
749,3.4,0,0,ALLOW
750,13.62,0,0,ALLOW
751,5.21,0,0,ALLOW
752,14.32,0,0,ALLOW
753,13.0,0,0,ALLOW
754,14.96,0,0,ALLOW
755,7.1,0,0,ALLOW
756,4.31,0,0,ALLOW
757,14.97,0,0,ALLOW
758,11.18,0,0,ALLOW
759,3.84,0,0,ALLOW
760,9.09,0,0,ALLOW
761,6.47,0,0,ALLOW
762,5.03,0,0,ALLOW
763,10.72,0,0,ALLOW
764,15.1,0,0,ALLOW
765,10.04,0,0,ALLOW
766,7.08,0,0,ALLOW
767,10.05,0,0,ALLOW
768,4.15,0,0,ALLOW
769,17.21,0,0,ALLOW
770,8.31,0,0,ALLOW
771,12.29,0,0,ALLOW
772,7.92,0,0,ALLOW
773,2.94,0,0,ALLOW
774,91.81,1,1,BLOCK
775,4.32,0,0,ALLOW
776,12.77,0,0,ALLOW
777,4.31,0,0,ALLOW
778,3.81,0,0,ALLOW
779,12.76,0,0,ALLOW
780,7.25,0,0,ALLOW
781,9.76,0,0,ALLOW
782,15.94,0,0,ALLOW
783,2.63,0,0,ALLOW
784,14.7,0,0,ALLOW
785,11.13,0,0,ALLOW
786,7.35,0,0,ALLOW
787,2.62,0,0,ALLOW
788,9.38,0,0,ALLOW
789,4.16,0,0,ALLOW
790,8.63,0,0,ALLOW
791,15.29,0,0,ALLOW
792,35.37,1,0,ALLOW
793,4.84,0,0,ALLOW
794,15.52,0,0,ALLOW
795,42.73,0,1,MONITOR
796,6.55,0,0,ALLOW
797,13.88,0,0,ALLOW
798,46.06,0,1,MONITOR
799,10.5,0,0,ALLOW
800,87.74,1,1,BLOCK
801,15.22,0,0,ALLOW
802,89.03,1,1,BLOCK
803,12.94,0,0,ALLOW
804,17.37,0,0,ALLOW
805,4.49,0,0,ALLOW
806,16.38,0,0,ALLOW
807,77.59,1,1,BLOCK
808,9.74,0,0,ALLOW
809,8.99,0,0,ALLOW
810,3.35,0,0,ALLOW
811,10.86,0,0,ALLOW
812,4.88,0,0,ALLOW
813,15.44,0,0,ALLOW
814,5.67,0,0,ALLOW
815,25.55,1,0,ALLOW
816,4.71,0,0,ALLOW
817,32.16,1,0,ALLOW
818,16.46,0,0,ALLOW
819,12.76,1,0,ALLOW
820,5.4,0,0,ALLOW
821,92.22,1,1,BLOCK
822,78.24,1,1,BLOCK
823,11.75,0,0,ALLOW
824,10.19,0,0,ALLOW
825,91.48,1,1,BLOCK
826,3.81,0,0,ALLOW
827,12.06,0,0,ALLOW
828,3.66,0,0,ALLOW
829,4.04,0,0,ALLOW
830,5.17,0,0,ALLOW
831,4.17,0,0,ALLOW
832,10.56,0,0,ALLOW
833,3.14,0,0,ALLOW
834,79.68,1,1,BLOCK
835,19.42,0,0,ALLOW
836,89.34,1,1,BLOCK
837,11.83,0,0,ALLOW
838,2.86,0,0,ALLOW
839,3.07,0,0,ALLOW
840,13.05,1,0,ALLOW
841,12.64,1,0,ALLOW
842,6.83,1,0,ALLOW
843,87.58,1,1,BLOCK
844,2.0,0,0,ALLOW
845,89.44,1,1,BLOCK
846,4.05,0,0,ALLOW
847,5.94,0,0,ALLOW
848,17.83,0,0,ALLOW
849,16.21,0,0,ALLOW
850,5.18,0,0,ALLOW
851,15.01,0,0,ALLOW
852,10.8,0,0,ALLOW
853,16.11,0,0,ALLOW
854,91.24,1,1,BLOCK
855,13.64,0,0,ALLOW
856,15.47,0,0,ALLOW
857,4.62,0,0,ALLOW
858,14.01,0,0,ALLOW
859,4.13,0,0,ALLOW
860,13.67,0,0,ALLOW
861,8.86,0,0,ALLOW
862,13.77,0,0,ALLOW
863,7.31,0,0,ALLOW
864,1.89,0,0,ALLOW
865,5.98,1,0,ALLOW
866,18.18,0,0,ALLOW
867,83.63,1,1,BLOCK
868,2.51,0,0,ALLOW
869,13.95,0,0,ALLOW
870,2.44,0,0,ALLOW
